id_gov,id_google,name,user_ratings_total,rating,reviews.author_name,reviews.rating,reviews.text,reviews.profile_photo_url,reviews.text.aievaluated
CWOH/1261011/2021/05/973,ChIJORsYcBJbFkcRAs13nJKURUY,Hotel Jan,595,4.6,joshua nand,5,"Really liked this Hotel, location was just perfect, just in the old town close to everything. Amazing front desk staff, booked me tour to salt mine and Auschwitz. Nice spacious rooms, I would definitely stay here again",https://lh3.googleusercontent.com/a-/ALV-UjVYe92GNMfMPQBRQaUxsP90AQW0Njz9MiyaYnTfKZ3lg8gIF68S=s128-c0x00000000-cc-rp-mo-ba4,staff
CWOH/1261011/2021/05/973,ChIJORsYcBJbFkcRAs13nJKURUY,Hotel Jan,595,4.6,Iain MacLennan,5,"Went to krakow for a long weekend and had a fantastic time,
Hotel was based just off the main square so perfectly place as a base to explore the city.
It was fantastic from the day we got there the receptionist was very helpful and because are room was ready early so we could get in and from there it was a fantastic weekend!
The breakfast selection was great in a lovely dining area.
And on the last day the staff where more than happy to hold on to are luggage for the morning until we where ready to go to the airport.
Would definitely return to this hotel if I was to return.",https://lh3.googleusercontent.com/a/ACg8ocJZ7FORhV44NafuYpeuGiyK3kyDVmX5_ePqxwL7EUIzW_GoXA=s128-c0x00000000-cc-rp-mo-ba3,location
CWOH/1261011/2021/05/973,ChIJORsYcBJbFkcRAs13nJKURUY,Hotel Jan,595,4.6,CHRISTINA McGARRY,5,"Fantastic hotel, right on the square. Rooms are amazing & defo worth more stars. Staff were so lovely especially Joanna on reception, so helpful & very funny, we really enjoyed our stay & will be back",https://lh3.googleusercontent.com/a/ACg8ocK28UvfIJSdEBABl86VQPXYDBJ1gg6iqA3H0G_AIBvhGGt_yA=s128-c0x00000000-cc-rp-mo,location
CWOH/1261011/2021/05/973,ChIJORsYcBJbFkcRAs13nJKURUY,Hotel Jan,595,4.6,Catherine Gettins,5,"Brilliant hotel. Ideal location, a few steps from main square. Bedroom very comfortable and spacious. Staff very helpful and friendly.",https://lh3.googleusercontent.com/a-/ALV-UjXqkbrr79A1B5vPzqLllCpCORdYkMNy-ym9igtpUpelBVNlpCo_=s128-c0x00000000-cc-rp-mo,location
CWOH/1261011/2021/05/973,ChIJORsYcBJbFkcRAs13nJKURUY,Hotel Jan,595,4.6,gerry farrell,5,Great value . Right at the main square so location is perfect . Haven't had the breakfast yet,https://lh3.googleusercontent.com/a/ACg8ocK_iiI53O1ogyOlvhsGswqitDd7bv8vp_nspGRdtZq1dQy00A=s128-c0x00000000-cc-rp-mo-ba2,location
CWOH/1261011/2021/05/979,ChIJl2OY0NJbFkcRBeloeffOmCc,Crown Piast Hotel & Park Kraków,1291,4.3,Laura Downie,5,"We stayed here at the start of January 2025, what an amazing hotel the rooms are very luxurious, quiet location. Comfy beds & amazing shower! What more could you ask for from a hotel?
Only let down was a staff member who wasn’t the best at communicating/accommodating us & other hotel guests he seemed very unorganised and unbothered by leaving us all in the small reception area after check in time whilst our rooms weren’t ready. We got into our room over 45 mins after check in time so waiting about wasn’t ideal.",https://lh3.googleusercontent.com/a/ACg8ocJEThy7_iIZfFnJyI_SpbXYG4fxFMJG2wq4GIONpAyup2xTZA=s128-c0x00000000-cc-rp-mo-ba2,cleanliness
CWOH/1261011/2021/05/979,ChIJl2OY0NJbFkcRBeloeffOmCc,Crown Piast Hotel & Park Kraków,1291,4.3,Gemma .knights,4,"Lovely staff and clean rooms.
Bed was comfy, pillows were a little flat but I'm a pillow snob.
Breakfast was all ways good and a good selection.
Pancakes were clearly from the day before one say as they were rock hard but the hotel was very empty on our stay so can be expected.",https://lh3.googleusercontent.com/a/ACg8ocJvFv4Jhke3a1pNfo8nRQfcV57k2CXnd0sEcVVjpIDy9g6xaQ=s128-c0x00000000-cc-rp-mo-ba4,cleanliness
CWOH/1261011/2021/05/979,ChIJl2OY0NJbFkcRBeloeffOmCc,Crown Piast Hotel & Park Kraków,1291,4.3,Kacper Kossowski,1,"The hotel has not been renovated in years, and this is evident at every turn. While I can accept this as there are many hotels like it, the five stars you promote should really be divided into two. I would not have booked my stay if I had known the true state of the hotel. The attached photos will illustrate the hotel's standards better than words can, but what’s even more concerning is the lack of any response following my complaint submitted at the reception.

Additionally, the non-functioning spa and the broken TV in the bar, where I waited 15 minutes for service, complete the disappointing picture. I certainly will not be returning.

On the positive side, the location is quiet and situated in a park, with just a 20-minute drive to the old town.",https://lh3.googleusercontent.com/a/ACg8ocLVGGpdNGAKZQm3envMaeMIFwMrV2owgSBo_MlkvxUbqwEi9w=s128-c0x00000000-cc-rp-mo,condition
CWOH/1261011/2021/05/979,ChIJl2OY0NJbFkcRBeloeffOmCc,Crown Piast Hotel & Park Kraków,1291,4.3,Ernest Brk,5,"Nice hotel. Clean, comfortable rooms, friendly staff, huge free car parking space. Good breakfast.
A bit of a walk to the tram (1 km) and bus (700 m) stops, so location is not perfect.",https://lh3.googleusercontent.com/a-/ALV-UjWTlXz36xXVap--emi8FTq5os9vp0-W63eSfNac71-otS9oqaz0=s128-c0x00000000-cc-rp-mo-ba5,location
CWOH/1261011/2021/05/979,ChIJl2OY0NJbFkcRBeloeffOmCc,Crown Piast Hotel & Park Kraków,1291,4.3,Sharoot Bhardwaj,1,"Review of Piast and Park Hotel Kraków: Disappointing Experience

We recently stayed at the Piast and Park Hotel Kraków, expecting a five-star experience based on its claims, but unfortunately, it turned out to be anything but. Our experience here fell far below even a two-star standard, making it a clear red flag for families, especially those traveling with young children.

Firstly, the lighting throughout the hotel was inadequate, leaving many areas in dark shadows. This lack of attention to basic infrastructure made the entire atmosphere feel unwelcoming. The food was a huge disappointment—low quality and served in very small portions, a far cry from what one would expect for the high price we paid. The rooms were shabby, with dirty pillows and linen that seemed unwashed and uncared for. The cleanliness standards were simply unacceptable.

For families, this hotel is clearly not equipped. There is no kids’ play area, nor any family-friendly amenities. The bathroom, even in an 85 m² room, was shockingly small and impractical. Room service was nonexistent, adding to our frustration during our stay. Moreover, there was no doctor on call and no arrangements for handling medical emergencies, which is essential for families traveling with kids or elderly members.

The only positive note was the helpful receptionist, Ms. Sofia from Ukraine, who tried her best to make our stay bearable. But beyond her efforts, the hotel’s overall service was dismal. For nine days, we experienced consistent issues and poor standards, all while paying 12,000 AED for our stay.

This hotel claims a five-star rating, yet it consistently failed to meet even basic expectations. For anyone considering staying in Kraków, especially families or travelers expecting any level of comfort or service, I strongly advise against booking here. It was a costly, disappointing experience that left us feeling thoroughly dissatisfied.",https://lh3.googleusercontent.com/a-/ALV-UjXL6udy3A6Zde1rjGscP63GctpIMA6s-nEet43pK-PDU5O3X9IC=s128-c0x00000000-cc-rp-mo,cleanliness
